"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CAP-EL-H-12x6.5";1;"100uF/35V";;;
2;"L1";"SD75";1;"220uH/SD75";;;
3;"Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**";"via_09_07";9;"Val**";;;
4;"C2";"C_0603_5MIL_DWS";1;"470pF";;;
5;"C3";"C_0805_5MIL_DWS";1;"22uF/6.3V";;;
6;"D1";"SMA-KA";1;"1N5819S(SS14)";;;
7;"D2";"SOT23";1;"BAT54C";;;
8;"FET1,FET2";"SOT23";2;"IRML6402";;;
9;"P3,P4";"GPH127SMT-02X20(PA-V16X-2X20-LF)";2;"CONN_02X20";;;
10;"P5,P6";"FPV-WZA21-40-LF";2;"CONN_01X40";;;
11;"Q1,Q3";"SOT23";2;"DTC114YKA";;;
12;"Q2";"SOT23";1;"DTA114YKA";;;
13;"R1,R5,R6,R13";"R_0603_5MIL_DWS";4;"18K/1%";;;
14;"R2";"R_0603_5MIL_DWS";1;"1R";;;
15;"R3";"R_0603_5MIL_DWS";1;"150R";;;
16;"R4,R7,R8";"R_0603_5MIL_DWS";3;"1.2K/1%";;;
17;"U1";"SO-8";1;"MC34063";;;
18;"P2";"GBH-254-SMT-40";1;"CONN_02X20";;;
19;"C4";"C_0603_5MIL_DWS";1;"1uF/6.3V";;;
20;",,";"Fiducial1x3_transp";3;"";;;
21;"";"OLIMEX_LOGO_TB";1;"";;;
22;"";"LOGO_RECYCLEBIN_1";1;"";;;
23;"Ref**";"LOGO_ANTISTATIC_1";1;"Val**";;;
24;"";"LOGO_PBFREE";1;"";;;
25;"Ref**";"LOGO_ROHS_1";1;"Val**";;;
26;"P1";"FPV-WZB21-6-LF";1;"CONN_01X06";;;
27;"R12,R10,R11,R9";"J_0402_DWS";4;"n.a(0R)";;;
28;"P7";"SIP6_SMD_50";1;"CONN_01X06";;;
